,park_name,act_name
0,**********National Mall**********,"['Arts and Culture', 'Boating', 'Food', 'Guided Tours', 'Shopping', 'Wildlife Watching']"
1,Abraham Lincoln Birthplace National Historical Park,"['Astronomy', 'Food', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
2,Acadia National Park,"['Arts and Culture', 'Astronomy', 'Biking', 'Boating', 'Camping', 'Climbing', 'Compass and GPS', 'Fishing', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Horse Trekking', 'Ice Skating', 'Junior Ranger Program', 'Paddling', 'Park Film', 'Shopping', 'Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Swimming', 'Wildlife Watching']"
3,Adams National Historical Park,"['Guided Tours', 'Living History', 'Park Film', 'Shopping']"
4,African American Civil War Memorial,['Guided Tours']
5,African Burial Ground National Monument,"['Arts and Culture', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping']"
6,Agate Fossil Beds National Monument,"['Arts and Culture', 'Astronomy', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
7,Ala Kahakai National Historic Trail,"['Arts and Culture', 'Auto and ATV', 'Biking', 'Boating', 'Camping', 'Compass and GPS', 'Fishing', 'Food', 'Guided Tours', 'Hands-On', 'Hiking', 'Junior Ranger Program', 'Paddling', 'SCUBA Diving', 'Snorkeling', 'Surfing', 'Swimming', 'Wildlife Watching']"
8,Alagnak Wild River,"['Boating', 'Camping', 'Fishing', 'Hunting and Gathering', 'Paddling', 'Wildlife Watching']"
9,Alcatraz Island,"['Food', 'Shopping', 'Wildlife Watching']"
10,Aleutian Islands World War II National Historic Area,"['Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Wildlife Watching']"
11,Alibates Flint Quarries National Monument,"['Arts and Culture', 'Camping', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits', 'Park Film']"
12,Allegheny Portage Railroad National Historic Site,"['Arts and Culture', 'Astronomy', 'Biking', 'Hands-On', 'Hiking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping']"
13,American Memorial Park,"['Arts and Culture', 'Biking', 'Fishing', 'Food', 'Guided Tours', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping', 'Surfing', 'Swimming', 'Wildlife Watching']"
14,Amistad National Recreation Area,"['Boating', 'Camping', 'Fishing', 'Hiking', 'Hunting and Gathering', 'Junior Ranger Program', 'Paddling', 'Park Film', 'SCUBA Diving', 'Shopping', 'Swimming', 'Water Skiing', 'Wildlife Watching']"
15,Anacostia Park,"['Biking', 'Boating', 'Fishing', 'Food', 'Guided Tours', 'Paddling', 'Playground', 'Team Sports', 'Wildlife Watching']"
16,Andersonville National Historic Site,"['Auto and ATV', 'Camping', 'Food', 'Guided Tours', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping']"
17,Andrew Johnson National Historic Site,"['Arts and Culture', 'Guided Tours', 'Junior Ranger Program', 'Museum Exhibits']"
18,Aniakchak National Monument & Preserve,"['Camping', 'Climbing', 'Flying', 'Hiking', 'Paddling', 'Wildlife Watching']"
19,Antietam National Battlefield,"['Biking', 'Camping', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
20,Apostle Islands National Lakeshore,"['Boating', 'Camping', 'Fishing', 'Guided Tours', 'Hiking', 'Hunting and Gathering', 'Junior Ranger Program', 'Paddling', 'Park Film', 'SCUBA Diving', 'Shopping', 'Snowshoeing', 'Swimming', 'Wildlife Watching']"
21,Appalachian National Scenic Trail,"['Astronomy', 'Camping', 'Compass and GPS', 'Guided Tours', 'Hands-On', 'Hiking', 'Junior Ranger Program', 'Snowshoeing', 'Wildlife Watching']"
22,Appomattox Court House National Historical Park,"['Arts and Culture', 'Auto and ATV', 'Food', 'Guided Tours', 'Hiking', 'Junior Ranger Program', 'Living History', 'Museum Exhibits', 'Park Film', 'Shopping', 'Wildlife Watching']"
